,CN1,CN2,CN3,CN4,diameter_2radius,diameter_pca,diameter_xy,MIAD,surface ratio,Departure from sphere(moment),flattening_moment,flattening_pca,atom_number,ellipsoid_a,ellipsoid_b,ellipsoid_c
48,7.05,2.95,7.9,3.15,11.3,15.49,11.24,5.68,0.9,0.072673,0.76,0.65,40,3.8290127569087344,6.264289444204148,5.484503744975403
49,7.14,2.81,7.78,3.03,10.93,15.45,10.18,5.47,0.86,0.061959,0.8200000000000001,0.74,37,4.16908998623545,5.686046559990237,4.978329893112393
50,7.24,3.24,8.27,3.6,12.15,14.16,10.4,5.81,0.87,0.027325,0.86,0.94,45,4.2707081020646465,6.136714096066978,5.700718807510511
51,7.59,3.33,9.07,3.96,12.17,18.08,11.72,6.15,0.81,0.020296,0.98,0.98,54,4.951576879736585,6.654656071276916,5.719971256680353
52,7.54,3.12,9.08,3.75,11.74,17.42,10.61,5.86,0.83,0.005618,0.96,0.91,48,5.0467456613831345,5.510505653889215,5.980258423340421
53,7.47,2.98,8.76,3.51,11.64,16.23,11.57,5.78,0.84,0.036722,0.91,0.82,45,4.560224415697169,5.499088388403206,5.757756288843517
54,7.64,2.59,8.73,3.82,11.77,18.06,11.77,5.71,0.86,0.0,1.0,1.0,44,5.879557162012354,5.876331764452527,5.882780788247631
55,7.22,2.98,7.85,3.32,11.83,17.42,10.16,5.69,0.85,0.057436,0.8200000000000001,0.65,41,3.980733728745588,5.84449103167868,5.632993830422836
56,7.51,3.18,9.1,3.8,11.85,17.58,10.46,5.9,0.84,0.001926,1.0,0.98,49,6.018557951663763,5.085057541501608,5.488285654140499
57,7.22,2.98,8.29,3.27,11.66,16.1,11.51,5.64,0.88,0.052505,0.8,0.69,41,6.2804297950663255,4.062394458641227,5.258623368960464
58,7.13,2.87,7.9,3.18,11.57,16.11,11.43,5.58,0.87,0.062585,0.94,0.75,39,3.8147761544379097,5.215776088429188,6.248380245413972
59,7.61,3.39,9.21,4.07,12.35,18.72,11.4,6.21,0.8,0.006879,1.0,0.86,56,5.939965998630183,5.895448754330577,5.798785925710962
60,7.47,3.14,8.73,3.67,12.06,18.07,11.38,5.98,0.84,0.021371,0.96,0.86,49,4.984122625283261,5.699237385655901,6.0125548421278605
61,7.53,3.38,9.2,4.04,12.26,17.47,11.47,6.18,0.84,0.009779,0.99,0.97,55,5.8553913219666915,5.87640016618538,5.901134834209023
62,7.36,3.02,8.21,3.57,12.29,16.41,11.3,6.02,0.85,0.060627,0.87,0.79,47,4.498629951494105,6.647185296094838,5.793029267460073
63,7.19,3.1,8.19,3.33,12.02,16.59,9.26,5.69,0.88,0.044439,0.97,0.75,42,4.315359258905673,5.419880098903787,6.255128966024025
64,7.21,3.07,8.0,3.35,12.23,17.16,9.88,5.79,0.86,0.055694,0.81,0.66,43,3.918391777068369,6.399744525977641,5.59915040949971
65,7.03,2.76,7.57,3.08,10.96,15.38,10.15,5.51,0.89,0.038742,0.89,0.78,37,4.253225880764862,5.264669563768347,5.486945386064443
66,7.19,2.7,7.73,3.14,11.41,15.18,10.0,5.47,0.86,0.044364,0.9,0.88,37,4.180864677178975,5.491782195782662,5.389238872964124
67,7.36,3.02,8.72,3.57,11.94,16.02,11.66,5.95,0.91,0.060328,0.79,0.67,47,4.447836591770502,6.029875338093892,6.005815339296563
68,7.57,2.94,8.94,3.62,11.9,16.35,11.71,5.89,0.85,0.059149,0.83,0.66,47,4.369225735136449,5.737154236133643,6.634192784091532
69,7.46,2.83,8.93,3.37,11.5,16.12,8.99,5.51,0.85,0.006642,0.99,0.85,41,4.507430285447741,5.164024635993957,5.5916854579137105
70,7.89,3.16,10.11,4.11,11.83,17.54,11.34,6.15,0.84,0.008743,0.91,0.83,57,6.321784490531902,5.502928866597148,5.038935027134139
71,7.16,3.2,8.13,3.6,12.63,16.88,11.53,5.89,0.87,0.049142,0.8200000000000001,0.69,45,4.494319929261665,6.549097685119944,6.325234111266208
72,7.17,3.28,8.28,4.0,13.01,17.1,12.41,6.8,0.93,0.164018,0.62,0.33,58,7.582959281613079,7.595132806277482,3.3952243153763435
