,CN1,CN2,CN3,CN4,diameter_2radius,diameter_pca,diameter_xy,MIAD,surface ratio,Departure from sphere(moment),flattening_moment,flattening_pca,atom_number,ellipsoid_a,ellipsoid_b,ellipsoid_c
0,7.28,2.87,8.1,3.13,10.6,14.28,10.03,5.53,0.85,0.054705,0.79,0.89,39,4.310587772820051,5.514645882858641,5.006363792899005
1,7.33,2.87,8.26,3.23,10.63,15.77,10.4,5.48,0.85,0.036813,0.9,0.83,39,4.335272224575034,5.52051349149392,4.969640493807781
2,7.35,2.85,8.45,3.35,10.6,16.13,9.97,5.52,0.85,0.023456,0.94,0.91,40,4.501979689606474,5.501171282082777,4.9583782491285975
3,7.28,2.87,8.1,3.23,10.67,14.87,10.67,5.51,0.85,0.046012,0.78,0.98,39,4.276310189713525,5.575055949811418,4.967907671469663
4,7.32,2.84,8.21,3.16,10.57,15.15,10.17,5.43,0.84,0.041851,0.98,0.87,38,4.168324212286786,5.303544488388131,4.983346072805518
5,7.3,2.95,8.3,3.3,10.69,15.39,10.31,5.53,0.85,0.029946,0.88,0.85,40,4.439892016457836,5.235478129608316,5.674331613147717
6,7.28,2.72,8.11,3.0,10.6,14.16,9.97,5.32,0.86,0.029553,0.97,0.83,36,5.434390777098225,4.109716715365351,4.489000398943463
7,7.14,2.69,7.71,2.8,10.56,14.2,9.91,5.37,0.86,0.076987,0.99,0.72,35,5.459001337960297,4.090892270268358,4.489984186117455
8,7.41,2.88,8.49,3.41,10.62,15.26,9.84,5.56,0.83,0.02625,0.87,0.9,41,4.436143891647449,5.717731601962008,4.958472323977122
9,7.43,2.9,8.57,3.33,10.88,15.03,10.31,5.63,0.83,0.033137,0.89,0.95,42,5.726443961015294,4.432388296498512,4.955948708793222
10,7.26,2.84,8.11,3.05,10.56,13.71,10.39,5.47,0.87,0.050199,0.83,0.89,38,5.881122156896124,4.960771764459202,3.7735377907687675
11,7.26,2.84,8.11,3.16,10.58,15.95,9.32,5.45,0.87,0.037228,0.84,0.75,38,4.214458499777,5.191777961889259,5.287340159476262
12,7.45,2.95,8.86,3.41,10.92,15.89,10.57,5.7,0.86,0.024446,0.88,0.85,44,4.725486129473962,5.576598394717582,5.434516739742656
13,7.64,2.91,9.0,3.55,10.92,15.01,9.98,5.65,0.82,0.021357,0.97,0.94,44,5.516007049164422,4.659169440820659,5.032750695474722
14,7.3,3.12,8.42,3.49,10.96,14.29,10.15,5.67,0.86,0.016572,0.95,0.75,43,4.6084125779493945,5.5294358469615545,5.401859895020334
15,7.48,2.86,8.67,3.38,11.01,16.05,10.28,5.61,0.86,0.025723,1.0,0.9,42,5.516711016372284,4.661631114588048,5.029519630316197
16,7.09,2.61,7.45,2.91,10.58,14.06,9.63,5.21,0.88,0.018627,0.9299999999999999,0.82,33,3.8754654287823307,5.467159128545958,5.063150565390758
17,7.35,2.8,8.45,3.2,10.53,15.45,10.44,5.54,0.88,0.031252,0.86,0.78,40,5.457640891323187,4.175312771497052,5.3930049994349085
18,7.06,2.71,7.53,3.0,10.67,14.22,9.78,5.27,0.88,0.017817,0.87,0.91,34,3.8951110117428533,5.362461405943435,5.417768227248884
19,7.17,3.02,8.1,3.27,10.84,13.83,10.33,5.64,0.88,0.026599,0.98,0.7,41,5.621091047343029,5.370116626880623,4.5163548812393355
20,7.54,3.17,9.25,3.71,10.89,15.85,10.77,5.82,0.88,0.001531,0.97,0.9,48,5.472472676150937,5.24863368646931,4.950862151893592
21,7.35,2.75,8.4,3.2,10.7,15.47,10.46,5.58,0.88,0.05211,0.92,0.77,40,3.886996392855446,5.901461916821585,5.2127780232790775
22,7.51,2.98,8.93,3.47,11.03,15.66,10.76,5.74,0.87,0.018293,0.87,0.82,45,4.564916427003079,5.652443324765847,5.607464286148149
23,7.35,3.07,8.42,3.49,11.05,15.62,10.31,5.68,0.84,0.022435,0.88,0.73,43,4.367691708238058,5.635504832760907,5.626861888308822
24,7.53,2.79,8.65,3.35,11.1,15.37,11.1,5.75,0.84,0.101546,0.69,0.47,43,3.5040120373734664,5.541563343549246,5.546500295918432
25,6.77,2.9,6.77,2.9,10.09,13.9,8.59,5.11,0.87,0.005689,0.91,0.82,31,3.9113393101905896,5.1648521686980216,5.172237357147802
26,7.69,3.22,9.41,3.84,11.12,15.43,10.67,5.93,0.82,0.001979,0.95,0.84,51,4.97355859664516,5.553177181781083,5.56242283189552
27,6.83,3.0,6.89,2.94,11.1,15.26,11.1,5.57,0.89,0.111829,0.77,0.4,36,3.200706316406645,5.543314932050617,5.54169172400922
28,7.11,2.84,8.0,3.16,10.65,15.24,10.1,5.49,0.89,0.033986,0.89,0.89,38,4.419795726775251,5.206074290751396,5.570831198246076
29,7.14,2.81,8.0,2.97,10.62,15.59,10.47,5.44,0.89,0.04462,0.86,0.72,37,5.880971322136576,4.96034692248031,3.773982735556331
30,6.86,2.43,6.86,2.43,10.59,13.29,9.23,4.96,0.89,0.067648,0.9299999999999999,0.8,28,3.4783303417502323,4.2816615420423405,5.384138092066584
31,7.45,2.95,8.86,3.41,10.9,14.7,10.87,5.7,0.89,0.014689,0.9299999999999999,0.92,44,5.693885346886047,4.920284938127674,5.021634336778637
32,7.45,2.95,8.86,3.5,10.89,15.86,10.73,5.7,0.89,0.022243,0.86,0.73,44,4.454824532480609,5.499674721051133,5.34733630744397
33,7.52,2.91,9.17,3.61,10.99,16.53,10.56,5.79,0.89,0.030552,0.96,0.78,46,4.411672728810032,5.375883483007043,5.748141068070967
34,7.06,2.83,7.67,2.89,10.51,15.18,10.05,5.42,0.89,0.056093,0.85,0.77,36,4.21428849523926,5.194361009240632,5.291349922405558
35,7.41,2.83,8.63,3.37,11.14,15.21,10.15,5.56,0.88,0.022557,0.99,0.93,41,4.487631353634872,5.573341023727137,5.103021933682161
36,7.49,3.11,8.94,3.7,11.15,14.53,10.75,5.82,0.85,0.000516,1.0,0.93,47,5.609289482029446,5.3240358175715405,5.310963980682793
37,7.14,2.59,7.73,3.03,11.17,14.69,10.6,5.55,0.89,0.081776,0.76,0.52,37,3.653356273480343,5.551694870785152,6.175785608388154
38,7.3,3.12,8.33,3.35,11.18,15.34,11.1,5.71,0.86,0.03403,0.92,0.64,43,4.386673680111923,5.441143459023414,5.784898757586963
39,7.4,2.93,8.7,3.49,11.25,15.74,10.65,5.67,0.88,0.020982,0.86,0.76,43,4.409701039184897,5.799116602205774,5.328444186573364
40,6.71,2.65,6.45,2.58,10.49,12.65,10.24,5.31,0.9,0.116701,0.69,0.65,31,5.156182980780695,5.499515076113948,3.1200587942432163
41,6.67,2.67,6.53,2.4,11.01,12.16,10.39,5.22,0.9,0.116075,0.8200000000000001,0.59,30,2.8994708262577937,5.5266636243221345,5.523239645840868
42,6.71,2.58,6.45,2.65,10.67,12.61,10.24,5.32,0.9,0.108173,0.74,0.66,31,5.5464032921628625,5.534775355816199,3.2009837415884297
43,6.83,2.48,6.83,2.55,10.66,13.27,9.39,5.05,0.9,0.067789,0.81,0.74,29,3.4654635558720672,5.435424989688877,5.002046952828757
44,7.03,2.97,7.9,3.23,10.74,14.91,10.15,5.55,0.9,0.016802,0.95,0.97,39,5.044697917874465,5.101710470364314,5.156299105976597
45,6.77,2.71,6.71,2.52,10.98,13.82,9.41,5.26,0.9,0.119792,0.9,0.51,31,2.9924507906243614,4.528637207634822,6.603268704703718
46,6.87,2.4,6.8,2.6,10.65,13.51,9.71,5.17,0.9,0.089935,0.83,0.67,30,3.2887894528394677,5.025047595760642,5.277898130882908
47,6.97,2.39,7.35,2.71,10.6,13.77,9.74,5.16,0.9,0.069686,0.99,0.65,31,3.537343856774651,4.718281450834173,5.5315266017763305
48,6.71,2.58,6.45,2.65,10.67,12.61,10.24,5.32,0.9,0.108173,0.74,0.66,31,5.534775355816199,5.546403292162864,3.2009837415884275
49,7.0,2.4,7.33,2.6,10.25,13.01,9.13,5.06,0.9,0.060643,0.97,0.77,30,3.3955427816434827,5.480048302175677,4.343725242714477
50,7.3,2.8,8.3,3.2,10.57,14.9,10.5,5.56,0.9,0.024742,0.96,0.92,40,5.5208409085111025,4.660744045744051,5.025202358041308
51,7.8,3.02,9.61,3.84,11.27,17.6,10.85,5.95,0.82,0.023084,0.95,0.81,51,4.770045188076441,5.691364104920808,5.643849841493695
52,7.77,3.25,9.51,3.92,11.31,17.25,11.2,6.0,0.79,0.00226,0.98,0.94,53,5.535878944078848,5.548469943410619,5.542367571747234
53,7.4,2.93,8.6,3.35,11.35,16.05,11.03,5.69,0.86,0.017618,0.95,0.83,43,4.877727769517506,5.65947008263789,5.535311859008267
54,7.61,3.0,9.04,3.65,11.36,15.87,10.87,5.75,0.83,0.010334,0.92,0.78,46,4.881277058646423,5.654074345342487,5.534463969568617
55,7.2,3.0,8.05,3.25,11.36,15.6,10.77,5.58,0.85,0.026287,0.91,0.83,40,6.12091448366863,5.461750275996974,4.512346381239054
56,7.55,2.7,8.85,3.35,11.38,13.9,11.38,5.45,0.85,0.005213,0.99,0.82,40,5.567665306294097,4.6457015076614985,4.541863637062825
57,6.76,2.82,6.94,2.76,10.87,13.34,10.27,5.47,0.91,0.11668,0.6699999999999999,0.54,34,3.292625436431418,5.840637858324558,5.747163167557768
58,7.0,2.56,7.38,2.81,10.65,14.57,9.61,5.18,0.91,0.030782,0.89,0.84,32,3.828620113457509,4.9780330670026345,5.550129814862532
59,6.62,2.81,6.5,2.75,10.98,13.24,10.21,5.38,0.91,0.109316,0.85,0.51,32,3.2958866621440106,5.742191866975845,5.8402031625636495
60,6.81,2.69,6.88,2.56,10.77,13.77,10.67,5.33,0.91,0.126288,0.86,0.5,32,6.1781520818456945,4.768632528724635,3.0997350607358944
61,6.69,2.75,6.56,2.69,10.54,14.46,9.63,5.37,0.91,0.113062,0.76,0.53,32,3.2798472598679207,5.433057490345213,5.4992538961392965
62,7.06,2.41,7.59,2.94,10.65,14.78,10.29,5.38,0.91,0.095672,0.97,0.69,34,3.726956376740757,5.553617039307089,4.778251074045297
63,7.51,2.98,8.89,3.6,11.43,15.95,10.75,5.73,0.84,0.00804,0.9299999999999999,0.8,45,4.881069338393147,5.654175669797492,5.534589196305478
64,6.24,2.48,5.76,1.92,10.67,11.77,8.77,4.98,0.92,0.127947,1.0,0.5,25,5.528503524212033,2.958011154101027,4.7260274484399805
65,6.54,2.31,6.0,2.23,10.3,13.23,9.45,4.99,0.92,0.121133,0.74,0.56,26,2.827375057716411,4.861410406445031,5.178463266691136
