,CN1,CN2,CN3,CN4,diameter_2radius,diameter_pca,diameter_xy,MIAD,surface ratio,Departure from sphere(moment),flattening_moment,flattening_pca,atom_number,ellipsoid_a,ellipsoid_b,ellipsoid_c
50,6.89,2.89,7.11,2.79,12.06,13.84,12.05,5.78,0.92,0.169472,0.91,0.56,38,3.154242974860652,6.351963411106448,5.472680733338147
51,6.69,2.91,6.63,2.8,12.13,12.4,11.58,5.61,0.91,0.124183,0.7,0.61,35,3.17411383516925,6.371515717822357,6.431063424685659
52,6.65,2.58,6.52,2.65,12.14,15.14,11.4,5.33,0.9,0.120155,0.9,0.52,31,6.543222607459134,5.325745851030414,3.2223760173227527
53,7.32,2.63,8.16,3.11,12.01,14.94,11.94,5.5,0.89,0.067099,0.97,0.77,38,6.120351132044306,5.245682501380684,3.757054380789136
54,6.83,2.67,6.89,3.11,12.12,16.71,11.64,5.62,0.92,0.087158,0.97,0.76,36,6.192428853259823,5.117899148442512,4.813895172430803
55,7.4,2.93,8.51,3.49,11.98,16.49,10.31,5.7,0.86,0.029125,0.95,0.81,43,4.685553623920692,5.944247800214102,5.393491983105774
56,7.28,3.02,8.72,3.62,12.17,17.69,11.17,5.94,0.87,0.042786,0.98,0.77,47,4.5961721611080275,6.1978209661301245,6.59541738915451
57,7.48,3.04,8.78,3.43,12.2,16.52,12.07,5.89,0.85,0.100007,0.98,0.73,46,3.686453953697203,5.27076655436614,6.715041728730499
58,7.81,2.96,9.73,3.85,12.2,17.46,11.04,6.01,0.85,0.032101,0.89,0.8,52,4.716087984332637,5.673861857475604,6.0528227967924515
59,6.82,2.65,6.94,2.71,12.02,16.02,11.36,5.47,0.91,0.078454,0.91,0.69,34,3.8099507002757003,6.492288387329491,5.337312463253337
60,7.49,3.06,8.94,3.66,12.21,17.17,11.58,5.86,0.85,0.04639,1.0,0.8,47,4.262399664562542,6.406558906432905,5.449087049807341
61,6.4,2.53,6.0,2.2,12.07,15.61,11.51,5.42,0.97,0.153735,0.6799999999999999,0.48,30,2.847864960910373,6.165524570842918,5.627077814933232
62,7.21,3.07,8.05,3.4,11.96,16.52,11.66,5.77,0.86,0.043158,0.92,0.76,43,6.156320371451433,5.359629332413037,4.904934203392908
63,7.48,3.04,9.04,3.65,11.94,16.36,10.25,5.78,0.85,0.01281,0.97,0.98,46,6.089151609858252,5.280375421420867,5.002738073433241
64,6.81,2.81,7.08,2.97,12.01,14.79,11.43,5.66,0.92,0.094175,0.72,0.65,37,3.65707589801608,6.0287077736758015,5.667038051747184
65,6.53,2.33,6.27,2.27,12.06,14.91,12.04,5.39,0.97,0.143649,0.79,0.47,30,6.675593392706069,5.251283599878772,3.0200528819025867
66,5.33,2.17,3.75,1.42,12.08,14.63,11.92,5.56,1.0,0.252666,0.63,0.29,24,1.6597534808249466,6.089139442700252,6.655350645629797
67,4.91,1.77,4.23,1.64,12.08,15.51,11.59,5.55,1.0,0.245598,0.7,0.35,22,2.141881994174793,6.9567201049359735,6.270049628381947
68,7.03,2.36,7.33,2.85,12.17,15.31,11.49,5.35,0.91,0.115937,0.92,0.7,33,3.37520801801264,6.341913777259371,4.726368408162137
69,6.28,2.14,5.93,2.48,12.07,14.68,11.23,5.45,1.0,0.156174,0.78,0.5,29,3.123554359517928,6.2804549168233095,5.322699513677853
70,6.86,2.86,7.68,2.97,12.14,16.5,9.36,5.57,0.95,0.091811,0.96,0.69,37,3.852474309245171,6.36932253444823,5.550092616485057
71,7.21,2.84,8.0,3.16,11.94,15.69,10.91,5.49,0.87,0.039291,0.9299999999999999,0.7,38,4.519932520392933,5.673327405987553,5.369232765762261
72,7.05,2.75,7.4,3.2,12.2,15.26,11.55,5.8,0.9,0.086656,0.97,0.88,40,4.026653640682625,6.9719716276359645,4.932768760680775
73,5.05,1.58,4.42,1.21,12.1,13.36,9.9,5.01,1.0,0.235908,0.91,0.52,19,2.426608854612846,4.013185907134073,6.187780275143874
74,6.58,2.39,6.71,2.39,12.0,14.66,11.86,5.42,0.94,0.153569,0.98,0.66,31,3.559941782866701,6.404634327010476,4.497150985070192
75,5.91,1.83,4.78,1.78,12.05,14.02,11.27,5.15,1.0,0.247975,0.95,0.52,23,2.183738990634203,6.293310216878616,4.692480419600994
76,6.89,2.78,6.83,2.83,12.22,15.71,12.11,5.67,0.89,0.161369,0.9299999999999999,0.49,36,3.2426548319862936,6.455527510933329,5.312486178311289
77,7.45,3.11,8.81,3.53,12.26,16.55,12.11,5.91,0.85,0.066245,0.99,0.79,47,4.4748904211636225,5.5146425460697115,6.711736641621619
78,7.57,2.94,8.94,3.62,11.9,16.35,11.71,5.89,0.85,0.059149,0.83,0.66,47,4.369225735136449,5.737154236133644,6.634192784091533
79,6.92,2.81,7.73,2.81,12.0,16.63,9.51,5.54,0.95,0.067915,0.76,0.57,37,3.923312206056367,5.547484848895241,5.923128161007225
80,4.33,2.0,2.56,1.83,12.04,14.24,11.15,5.33,1.0,0.274009,0.64,0.24,18,1.4060194657363152,6.368068982299583,5.306384055257095
81,6.89,2.84,7.0,2.79,11.93,14.36,11.93,5.8,0.89,0.165704,0.87,0.52,38,5.47192775919885,6.305457811799711,3.2423957217205044
82,6.07,2.57,6.07,2.14,12.0,16.22,12.0,5.3,0.96,0.141511,0.69,0.42,28,2.929325569780656,5.9659758943584364,5.5125024342498445
83,4.84,1.89,3.05,1.32,12.12,12.59,12.01,5.25,1.0,0.317818,0.92,0.38,19,1.466780170459123,4.72003942641544,6.259116748678179
84,6.97,2.82,7.44,3.03,11.93,15.81,10.6,5.78,0.9,0.135201,0.6599999999999999,0.46,39,3.3689210758447063,6.036679474577163,6.464494228242109
85,7.77,2.96,9.65,3.88,11.9,17.46,10.75,6.0,0.87,0.014602,0.94,0.78,52,4.856041353034025,5.6013693259215165,6.016065387141111
86,6.16,2.4,5.52,2.16,12.17,13.54,9.98,5.04,0.96,0.124337,0.86,0.63,25,2.952647681244036,5.898493627108093,5.235976435423623
87,6.34,2.34,5.93,2.21,12.17,14.41,11.82,5.4,0.97,0.173127,0.88,0.49,29,2.663593307758673,6.388325523748141,5.237961475050783
88,6.63,2.69,6.63,2.63,12.2,15.19,11.68,5.64,0.94,0.110157,0.69,0.64,35,3.534896667795813,5.751744237497934,6.1186441685806905
89,7.44,2.79,8.93,3.53,11.86,18.51,11.86,5.65,0.86,0.000361,0.98,0.88,43,5.874957923418732,5.881878387157031,5.878966980308413
90,6.17,1.74,5.13,1.91,12.16,13.62,11.76,5.05,1.0,0.228092,0.9,0.39,23,1.9107827837020461,6.2646076409810805,5.06075743904072
91,5.24,2.0,4.0,1.95,12.0,14.04,11.83,5.17,1.0,0.223974,0.88,0.52,21,2.5393469281301706,5.115148447970254,5.806236350418211
92,7.56,3.35,9.2,4.04,12.32,17.52,11.6,6.19,0.84,0.011691,0.95,0.97,55,5.883719060875381,5.8809755489603734,5.871546605700277
93,7.89,3.16,10.11,4.11,11.83,17.54,11.34,6.15,0.84,0.008743,0.91,0.83,57,6.321784490531902,5.502928866597148,5.038935027134139
94,5.67,2.25,4.58,2.29,11.98,14.58,9.93,5.21,1.0,0.152067,0.72,0.52,24,2.9527353883381218,5.898083295639472,5.23593456952384
95,6.09,1.86,5.14,1.82,11.98,13.6,10.22,4.92,1.0,0.173561,1.0,0.58,22,2.5837914828706037,5.875008482395123,4.8154778367379
96,6.23,2.23,5.31,2.42,11.94,15.05,10.48,5.19,0.96,0.11889,0.77,0.55,26,3.064836174268569,5.282563867515754,6.152698651575549
97,7.21,2.79,8.0,3.16,12.32,16.96,11.32,5.5,0.87,0.055059,0.95,0.75,38,6.557702588111241,4.207635473060312,4.853158255892009
98,6.84,2.45,6.77,2.65,11.86,14.47,10.64,5.28,0.9,0.0998,0.79,0.63,31,3.2504354490182554,5.409286387172319,5.689023450745807
99,7.48,2.86,8.48,3.38,11.78,16.16,11.42,5.66,0.83,0.062596,0.89,0.8,42,4.022066126590496,5.346023303381304,6.048850941737703
100,7.27,3.14,8.14,3.41,12.37,17.54,11.73,5.81,0.84,0.054163,0.84,0.61,44,3.9196664842176663,5.6039339045013365,6.392883778265899
101,6.21,2.28,5.72,2.14,11.93,15.24,10.66,5.47,1.0,0.173745,0.95,0.63,29,5.470524740959518,6.280986273855949,3.169750947778971
102,7.61,3.39,9.21,4.07,12.42,17.57,11.45,6.21,0.82,0.006531,0.98,0.97,56,5.88615179423147,5.8714713623407375,5.878658902159859
103,7.89,3.0,9.89,4.0,11.75,16.79,11.15,6.06,0.83,0.021543,0.92,0.8,54,4.855524755762992,5.600813802946331,6.015715815040348
104,5.05,2.29,3.43,1.33,12.25,15.88,12.16,5.28,1.0,0.240647,0.5800000000000001,0.24,21,1.6170185273564361,6.195539594079614,6.317823080197336
105,6.82,2.76,6.82,2.82,11.77,12.71,11.1,5.48,0.88,0.121016,0.6799999999999999,0.68,34,5.54623976515254,3.144773085977206,6.905600683540769
106,5.05,1.68,3.89,1.47,12.33,13.97,11.1,5.17,1.0,0.251579,0.99,0.53,19,2.5771041709142106,7.287704926970062,5.081800813562494
107,8.12,3.1,10.75,4.6,12.49,19.32,12.04,6.5,0.85,0.012056,0.88,0.83,67,5.30351489093589,6.280334358110464,6.272440628465378
108,6.97,2.82,7.49,2.97,12.44,16.04,10.46,5.8,0.9,0.162336,0.91,0.39,39,5.63288957861433,7.086456553927005,3.394546925885458
109,7.33,2.67,8.51,3.28,11.7,15.19,11.69,5.48,0.9,0.010426,0.99,0.99,39,6.251559008554503,5.210573440204548,4.802423048873433
110,7.49,3.25,8.9,3.76,12.52,18.81,11.65,6.04,0.84,0.017303,0.92,0.78,51,4.8739874749517424,5.948469378798058,6.4495948408630515
111,7.49,3.24,9.49,4.0,12.54,19.42,11.86,6.21,0.87,0.024972,0.92,0.84,55,5.578288190239624,6.152509705102786,6.313349508013698
