,CN1,CN2,CN3,CN4,diameter_2radius,diameter_pca,diameter_xy,MIAD,surface ratio,Departure from sphere(moment),flattening_moment,flattening_pca,atom_number,ellipsoid_a,ellipsoid_b,ellipsoid_c
0,8.9,3.67,12.83,5.79,14.15,22.88,14.15,7.7,0.67,0.0,1.0,0.85,116,7.071625765913827,7.061533113945372,7.066016935791082
1,8.79,3.66,12.68,5.62,14.36,22.36,14.3,7.61,0.7,0.003239,0.97,0.92,111,7.0560382429603665,7.065825206886668,7.0734890807422195
2,8.78,3.65,12.65,5.62,14.26,22.02,14.26,7.58,0.71,0.002683,0.94,0.88,110,6.656506836588941,7.140950766091152,7.138206443485099
3,8.65,3.64,12.28,5.35,14.27,21.27,14.2,7.4,0.72,0.011217,0.95,0.81,101,7.128249378593959,7.136124330674238,6.033581571409302
4,8.82,3.95,13.01,5.71,15.02,22.59,14.5,8.07,0.69,0.001719,0.97,0.89,131,7.339254961291058,7.327908994181114,7.330257461403197
5,8.2,3.62,10.68,4.78,13.73,19.41,13.73,6.91,0.73,0.014528,0.89,0.63,79,6.940646889563813,6.778048393585195,6.138023395022132
6,8.33,3.55,11.15,4.94,14.69,21.86,14.31,7.1,0.73,0.034452,0.91,0.73,85,5.730653215671156,7.5630787865242155,7.334597148214016
7,8.39,3.82,11.35,5.18,15.22,22.66,14.21,7.43,0.71,0.004814,1.0,0.91,98,7.044707541938027,7.475708801645173,7.484362870432702
8,8.35,3.62,11.29,4.94,13.8,20.03,13.65,7.02,0.74,0.000875,1.0,0.96,85,6.841301657813217,6.56751736271866,6.4359054661417705
9,8.37,3.54,11.34,4.9,13.68,18.73,13.62,6.92,0.74,0.006417,0.98,0.82,82,7.142927102569149,6.240115070460591,6.267885836499725
10,8.18,3.62,10.67,4.72,13.84,19.08,13.02,6.88,0.74,0.015903,0.88,0.72,78,5.957006645436884,7.292211229649527,6.535427917877342
11,8.27,3.59,11.1,4.85,13.72,19.22,13.5,6.96,0.74,0.003493,0.98,0.96,82,6.929182190060982,6.598459549158661,6.217906344583587
12,8.25,3.56,11.04,4.84,13.7,20.64,13.64,6.94,0.74,0.007192,0.9299999999999999,0.94,81,6.967190741190995,6.627906776337609,6.02067630317988
13,8.35,3.53,11.33,4.84,13.8,19.75,13.26,6.89,0.75,0.004388,0.98,0.75,81,6.8946216425375075,6.410259259123797,6.242764637203671
14,8.33,3.62,11.29,4.88,13.8,21.35,13.75,6.99,0.75,0.00072,0.97,0.99,84,6.15452258836425,6.774172783010552,6.832705976622368
15,8.46,3.42,11.57,4.94,13.71,19.73,13.19,6.98,0.75,0.038065,0.86,0.83,83,5.42670777857702,6.926850369449835,6.779657996029262
16,8.13,3.58,10.58,4.66,13.59,19.47,12.86,6.83,0.75,0.016344,0.9,0.76,76,5.6138804922458,6.75958022618402,6.919980257106182
17,8.31,3.62,11.24,4.88,13.74,21.47,12.88,7.0,0.75,0.000602,0.99,0.97,84,5.983449301714382,7.053057381159838,6.806545296663759
18,8.31,3.6,11.21,4.9,13.77,20.23,13.58,7.01,0.75,0.000902,0.99,0.93,84,6.8381149404067125,6.570467544998144,6.433943678865873
19,8.4,3.38,11.43,4.89,13.69,20.65,13.3,6.93,0.75,0.038588,0.91,0.8,81,5.400034089459941,6.902515154592259,6.823141035517123
20,8.22,3.55,11.0,4.75,13.85,19.02,12.76,6.94,0.75,0.028376,0.94,0.8,80,5.592534937294297,6.746939758158303,7.038623157613679
21,8.53,3.7,12.53,5.4,14.79,23.1,14.01,7.53,0.75,0.000593,1.0,0.94,106,6.843129792758047,7.23729322646613,7.197201351050279
22,8.16,3.61,10.65,4.68,13.74,19.89,13.07,6.85,0.75,0.017291,0.87,0.72,77,5.916489783781534,7.042170587774758,6.572472742895086
23,8.11,3.47,10.5,4.58,13.93,19.97,13.62,6.72,0.76,0.025587,0.87,0.75,72,5.399762775647068,6.513075262089829,7.11805364522151
24,8.11,3.47,10.5,4.61,13.7,19.58,11.99,6.71,0.76,0.02617,0.91,0.81,72,5.562585399730179,6.631335633723445,6.944314581987005
25,8.25,3.28,10.89,4.64,13.58,20.14,13.3,6.7,0.76,0.048796,1.0,0.71,72,5.219613627687861,6.970182383408555,6.606899403284813
26,8.24,3.59,11.07,4.83,13.67,19.29,13.65,6.97,0.76,0.003811,0.98,0.99,82,6.889983854439116,6.591487099310348,6.358161516811784
27,8.11,3.55,10.61,4.69,13.79,19.65,13.12,6.8,0.76,0.019988,0.85,0.83,75,5.942271284951435,6.739811010430905,6.820884868570761
