,CN1,CN2,CN3,CN4,diameter_2radius,diameter_pca,diameter_xy,MIAD,surface ratio,Departure from sphere(moment),flattening_moment,flattening_pca,atom_number,ellipsoid_a,ellipsoid_b,ellipsoid_c
70,4.46,2.0,2.46,1.46,9.42,10.02,8.55,4.46,1.0,0.251487,0.9299999999999999,0.47,13,1.6612527279259808,3.813959963696548,5.247310003205349
71,6.0,2.1,5.24,1.62,9.45,11.88,9.3,4.7,1.0,0.139014,0.95,0.65,21,2.6411647631379287,4.0800095408545305,4.939574829155587
72,5.33,1.89,3.33,1.11,9.44,12.02,9.27,4.8,1.0,0.239363,0.8200000000000001,0.35,18,1.662396380022191,5.558954671558387,4.624022891137346
73,5.2,1.73,2.93,1.0,9.4,10.7,9.22,4.42,1.0,0.226075,0.87,0.45,15,1.6015976819172428,5.182337297010046,3.882892538585396
74,4.93,1.6,3.47,1.27,9.45,12.22,8.91,4.48,1.0,0.20861,0.84,0.45,15,1.7814178475493117,4.865203796115482,4.118402204488454
75,5.33,2.0,3.33,1.22,9.41,12.02,9.32,4.75,1.0,0.213132,0.7,0.3,18,1.682512182440352,5.368178009916686,5.4674449865714605
76,5.38,1.5,3.75,1.69,9.39,11.23,8.15,4.5,1.0,0.200222,0.91,0.34,16,1.7854486777515615,4.591754020873151,4.876714393624415
77,3.45,2.36,1.09,1.09,9.61,10.86,9.59,4.52,1.0,0.310148,0.9299999999999999,0.37,11,1.3650827082250736,3.608405014448305,5.156673763327196
78,6.44,2.3,6.15,2.37,10.28,14.58,9.97,5.09,0.96,0.116757,0.8,0.61,27,3.102507752661081,5.486530841171736,4.918373729034318
79,6.84,2.52,7.29,2.71,10.34,14.19,9.64,5.14,0.94,0.029463,0.89,0.87,31,3.976023820911108,5.2045616575918485,4.69953964135114
80,7.11,2.78,7.78,2.94,10.37,15.02,10.36,5.4,0.89,0.06204,0.9299999999999999,0.8,36,3.9439065232993995,5.710986794954977,4.7656313222467945
81,7.11,2.78,7.89,3.06,10.38,15.56,10.16,5.37,0.89,0.03186,0.89,0.79,36,4.21490471072042,4.986073019111086,5.368085196621651
82,7.14,2.86,8.05,3.03,10.38,15.24,10.36,5.41,0.89,0.042722,0.95,0.76,37,3.770274378358217,5.312149938067011,5.769310419995532
83,7.24,3.1,8.38,3.43,10.41,12.56,8.77,5.63,0.88,0.010412,0.88,0.75,42,5.117882044115068,5.127718020959959,5.0587517198831184
84,6.85,2.61,7.33,2.67,10.42,14.13,9.92,5.34,0.94,0.096622,0.86,0.71,33,5.034933324703615,5.565627104503193,3.357682388458426
85,7.33,2.87,8.21,3.23,10.48,14.04,10.28,5.49,0.85,0.035502,0.85,0.98,39,4.325175455545773,5.114316300708395,5.271028500837996
86,7.06,2.83,7.72,2.89,10.49,15.29,9.41,5.41,0.89,0.051694,0.9,0.75,36,4.3231232177953105,5.11805878223123,5.269829761431449
