,CN1,CN2,CN3,CN4,diameter_2radius,diameter_pca,diameter_xy,MIAD,surface ratio,Departure from sphere(moment),flattening_moment,flattening_pca,atom_number,ellipsoid_a,ellipsoid_b,ellipsoid_c
0,8.9,3.67,12.83,5.79,14.15,22.88,14.15,7.7,0.67,0.0,1.0,0.85,116,7.071625765913827,7.061533113945372,7.066016935791082
1,8.52,3.44,11.67,5.06,13.71,20.44,13.21,7.0,0.73,0.024977,0.9,0.94,85,5.662343639141095,6.870306667250455,6.7026184654757
2,8.35,3.71,11.41,5.05,14.77,23.55,14.3,7.21,0.74,0.002469,1.0,0.85,91,6.335890644889842,7.2175912146182295,7.706332881313077
3,8.37,3.54,11.34,4.9,13.68,18.73,13.62,6.92,0.74,0.006417,0.98,0.82,82,7.142927102569149,6.240115070460591,6.267885836499725
4,8.18,3.62,10.67,4.74,13.63,18.24,13.63,6.88,0.74,0.016029,0.9,0.77,78,6.829668359326898,6.657443859773911,6.097817705245516
5,8.25,3.56,11.04,4.84,13.7,20.64,13.64,6.94,0.74,0.007192,0.9299999999999999,0.94,81,6.967190741190995,6.627906776337609,6.02067630317988
6,8.29,3.59,11.16,4.89,13.81,20.17,13.38,6.98,0.75,0.002597,0.96,0.97,83,6.881252607569216,6.657542183576958,6.25292682741399
7,8.65,3.63,12.46,5.46,14.07,22.02,13.74,7.45,0.75,5e-05,0.99,0.89,104,6.75750906965928,7.0518995810250225,6.975374901623621
8,8.52,3.78,12.09,5.3,15.35,22.36,14.94,7.68,0.75,0.022408,0.94,0.87,108,8.248465282440808,7.624484017524576,6.49097252027048
9,8.13,3.58,10.58,4.66,13.59,19.47,12.86,6.83,0.75,0.016344,0.9,0.76,76,5.6138804922458,6.75958022618402,6.919980257106182
10,8.31,3.62,11.24,4.88,13.79,21.13,13.69,7.0,0.75,0.001232,1.0,0.99,84,6.844083851137781,6.564518883587661,6.432986707757933
11,8.33,3.62,11.29,4.88,13.8,21.35,12.85,6.99,0.75,0.00072,0.97,0.99,84,6.154522588364258,6.774172783010552,6.83270597662237
12,8.35,3.53,11.33,4.89,13.67,19.79,13.51,6.89,0.75,0.008642,0.98,0.89,81,5.930888846409865,6.865229714685593,6.71554834413987
13,8.22,3.55,11.0,4.75,13.85,19.02,12.76,6.94,0.75,0.028376,0.94,0.8,80,5.592534937294297,6.746939758158303,7.038623157613679
14,8.16,3.61,10.65,4.68,13.74,19.89,13.74,6.85,0.75,0.017291,0.87,0.72,77,7.042170587774761,6.572472742895082,5.916489783781537
15,8.45,3.45,11.77,5.09,14.11,20.89,13.18,7.1,0.75,0.017721,0.94,0.93,88,6.132817846405486,6.758269116446014,7.082638025359208
16,8.31,3.6,11.21,4.9,13.82,20.88,13.54,7.01,0.75,0.000427,0.98,0.99,84,6.843761272975661,6.5652048831744425,6.433681252957677
17,8.08,3.47,10.36,4.56,13.64,19.55,13.09,6.73,0.76,0.019159,0.89,0.83,72,5.717714370918546,6.617055183852054,7.1144042550023885
18,8.61,3.63,12.39,5.41,13.9,21.0,13.9,7.41,0.76,0.00116,0.97,0.91,102,7.068590894460574,6.926634040282807,6.5649229077926625
19,8.62,3.63,12.43,5.42,14.13,21.91,13.86,7.43,0.76,0.000439,0.98,1.0,103,6.7578106634516955,7.054786803751536,6.975356325780582
20,8.51,3.57,12.04,5.19,13.97,21.73,13.95,7.24,0.76,0.011527,0.92,0.89,94,6.168603340771792,6.928757229944012,7.035796168651483
21,8.21,3.45,10.84,4.71,13.7,20.26,13.09,6.82,0.76,0.01738,0.9,0.82,76,5.833017489094877,6.709558908193699,6.998092987201068
22,8.13,3.61,10.63,4.63,13.63,16.83,12.99,6.82,0.76,0.017824,0.89,0.86,76,5.478919006447508,6.849599171107772,6.796316353049568
