,CN1,CN2,CN3,CN4,diameter_2radius,diameter_pca,diameter_xy,MIAD,surface ratio,Departure from sphere(moment),flattening_moment,flattening_pca,atom_number,ellipsoid_a,ellipsoid_b,ellipsoid_c
71,7.28,2.62,7.95,3.13,12.09,16.18,11.87,5.69,0.87,0.141482,0.99,0.6,39,3.406255514731403,5.447807512886965,6.52081960800757
72,7.63,2.94,9.35,3.76,12.08,17.18,12.08,5.93,0.88,0.036062,0.83,0.74,49,4.650565588342026,5.5170557303828955,6.166941179141197
73,7.0,2.65,7.24,2.88,11.64,15.4,10.58,5.37,0.88,0.047026,0.85,0.76,34,3.740040047195167,5.159017321121076,6.000451889426879
74,7.35,2.7,8.25,3.2,12.14,16.09,10.97,5.63,0.88,0.082359,0.9,0.72,40,3.8565596767524504,6.151149704350484,5.277005477723138
75,7.35,2.7,8.25,3.25,12.04,16.2,10.86,5.61,0.88,0.061191,0.85,0.79,40,4.185337416302333,5.816029763650683,5.274844126499342
76,8.49,3.61,12.24,5.33,13.97,22.65,13.96,7.32,0.8,0.002297,0.95,0.98,98,6.498744425578875,6.841136355315791,7.038936457980811
77,8.53,3.49,11.91,5.14,13.99,20.54,13.71,7.16,0.75,0.012066,0.92,0.94,91,6.248282022520828,6.9966552277253715,6.816965741586336
78,7.17,2.67,7.78,3.06,11.77,14.13,10.68,5.4,0.89,0.023427,0.84,1.0,36,6.608783990726055,4.432920314486725,4.980933646531795
79,6.78,2.94,6.78,3.0,12.07,12.21,8.77,5.63,0.89,0.115577,0.6799999999999999,0.58,36,3.395402355719927,6.785731005227322,6.789650951645018
80,6.84,2.95,7.05,2.79,12.05,14.42,12.05,5.76,0.89,0.143628,0.77,0.48,38,2.9031051505576793,5.985724516040697,6.098242205950143
81,6.92,2.81,7.3,2.92,12.07,14.93,11.45,5.66,0.89,0.132685,0.77,0.44,37,3.3764818452951064,5.971341910364921,6.505771944622164
82,7.0,2.72,7.28,3.0,12.13,16.68,10.45,5.51,0.89,0.069875,0.87,0.73,36,3.7166491713822083,5.169542895003333,6.14837328701883
83,6.97,2.69,7.2,2.97,11.93,16.33,10.59,5.46,0.89,0.062965,0.94,0.75,35,5.3387941389745,6.494041116727234,3.808455352745778
84,6.89,2.84,7.21,3.05,12.05,16.9,11.19,5.69,0.89,0.090486,0.74,0.53,38,3.61786702978457,5.6623567601096765,6.117145477749679
85,6.97,2.76,7.24,3.08,12.08,14.4,10.52,5.6,0.89,0.073453,0.8,0.9,37,3.7423795133629487,6.833398181628147,5.20285821325705
86,7.26,3.09,8.83,3.65,12.14,16.68,11.4,5.86,0.89,0.028022,0.92,0.83,46,4.611309975854751,6.691388941807166,5.781744653496609
