,CN1,CN2,CN3,CN4,diameter_2radius,diameter_pca,diameter_xy,MIAD,surface ratio,Departure from sphere(moment),flattening_moment,flattening_pca,atom_number,ellipsoid_a,ellipsoid_b,ellipsoid_c
0,6.95,2.63,7.42,3.21,12.43,16.52,12.02,5.72,0.92,0.120916,0.96,0.68,38,3.925520974324717,5.854522699058325,6.544229872214492
1,7.03,2.81,7.84,2.97,12.42,16.2,11.18,5.5,0.92,0.074572,0.86,0.68,37,3.6318079977700135,5.290280036341177,6.125966675658513
2,6.89,2.72,7.06,2.67,12.41,15.2,12.41,5.68,0.92,0.187257,0.99,0.56,36,3.236083800968046,5.151759456023091,6.6137783113064135
3,6.94,2.72,7.67,3.0,12.43,16.21,10.83,5.49,0.92,0.088155,0.85,0.66,36,3.552316351335899,6.130007995164277,5.097122457908777
4,6.97,2.72,7.54,3.03,12.47,16.24,9.91,5.78,0.92,0.126281,0.9299999999999999,0.7,39,3.960380328093097,5.468512121394166,7.0302447186523835
5,7.03,2.65,7.62,3.03,12.43,15.87,11.4,5.6,0.92,0.12785,0.99,0.61,37,3.3972203619272165,5.337475631509259,6.31903096076764
6,6.86,2.81,7.51,2.97,12.43,16.01,10.86,5.59,0.92,0.093898,0.96,0.74,37,3.812758297010159,6.069676455718834,5.438060289602825
7,6.95,2.65,7.35,2.9,12.47,16.24,12.09,5.94,0.92,0.160598,0.89,0.65,40,3.6046868512697845,5.677649761430857,6.506516542276807
8,7.08,2.72,8.05,2.97,12.41,15.69,12.3,5.65,0.92,0.079253,0.98,0.76,39,6.808034160598375,5.392476259511384,3.7560126268160774
9,6.76,2.7,7.41,2.92,12.46,16.11,12.24,5.67,0.92,0.091295,0.89,0.74,37,7.11738055661089,5.643153701387233,3.5929141413391634
10,6.84,2.89,7.63,3.05,12.48,16.94,12.42,5.63,0.92,0.061203,0.9,0.7,38,3.9164339377629456,5.378329455832654,6.531075313054395
11,6.74,2.95,7.05,3.11,12.48,15.33,10.98,5.79,0.92,0.158554,0.99,0.52,38,3.390868754953572,5.562634911101671,7.125984327895822
12,7.21,2.79,8.6,3.3,12.35,16.58,11.58,5.75,0.93,0.010134,0.97,0.91,43,5.015587578599365,5.5954724174189705,6.225956137335994
13,7.14,2.86,8.0,3.05,12.4,16.49,12.05,5.89,0.93,0.145402,0.91,0.67,42,3.516311992756005,5.626474288605751,6.644888157822985
14,6.33,2.53,6.13,2.27,12.44,15.04,12.31,5.42,0.93,0.170187,0.94,0.56,30,7.3304204764945995,4.561910536068736,2.8326286034567825
15,6.33,2.53,6.4,2.47,12.38,15.27,12.36,5.34,0.93,0.106922,1.0,0.74,30,3.5040078393667184,4.927229101872711,6.688641538272136
16,6.55,2.41,6.07,2.48,12.42,14.65,12.41,5.28,0.93,0.153102,0.95,0.56,29,3.037004809086053,6.026996706385248,5.047414484528016
17,7.09,2.91,8.27,3.32,12.44,16.97,12.05,5.92,0.93,0.076866,1.0,0.87,44,6.61577928665586,5.864571494300594,4.808858951257904
18,6.47,2.6,6.4,2.33,12.43,14.26,12.43,5.32,0.93,0.132514,0.7,0.56,30,2.8862506517755286,5.764384002038105,6.424884471897105
19,7.02,2.83,7.71,3.02,12.35,15.88,11.87,5.87,0.93,0.134421,0.91,0.65,41,3.6839263235488855,6.531076137936913,5.525638861617737
20,7.1,2.9,7.9,3.24,12.37,16.16,11.25,5.85,0.93,0.109956,0.91,0.75,42,3.8286344465050215,5.60219524629862,6.342866383943351
21,6.92,2.72,7.59,3.13,12.53,16.14,11.35,5.79,0.92,0.12774,0.74,0.53,39,3.1967079073161595,6.114267989915096,6.619802646682568
22,6.81,2.81,7.08,2.65,12.31,14.4,12.31,5.74,0.92,0.16373,0.9,0.51,37,3.317418031799708,5.429624486364802,6.265674854375775
23,6.92,2.81,7.46,3.08,12.56,16.6,10.71,5.58,0.92,0.080757,0.92,0.76,37,3.962038853418557,6.201890787257742,5.6108342572613195
